Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,new_column,Married
Senior,1,22.0,1,0,7.25,S,1.9810014688665833,1.0
junior,0,38.0,1,0,71.2833,C,4.26666207838721,1.0
Senior,0,26.0,0,0,7.925,S,2.0700223197633445,0.0
junior,0,35.0,1,0,53.1,S,3.9721769282478934,1.0
Senior,1,35.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,0,0,8.4583,Q,2.135148207799377,1.0
junior,1,54.0,0,0,51.8625,S,3.948595985658986,1.0
Senior,1,2.0,3,1,21.075,S,3.048087503887919,0.0
Senior,0,27.0,0,2,11.1333,S,2.409940617298087,1.0
Senior,0,14.0,1,0,30.0708,C,3.4035546012358333,1.0
Senior,0,4.0,1,1,16.7,S,2.8154087194227095,0.0
junior,0,58.0,0,0,26.55,S,3.279029747687948,0.0
Senior,1,20.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,39.0,1,5,31.275,S,3.442819056352975,1.0
Senior,0,14.0,0,0,7.8542,S,2.061048420562944,0.0
Senior,0,55.0,0,0,16.0,S,2.772588722239781,1.0
Senior,1,2.0,4,1,29.125,Q,3.371596911885865,0.0
Senior,1,29.881137667304014,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,31.0,1,0,18.0,S,2.8903717578961645,1.0
Senior,0,29.881137667304014,0,0,7.225,C,1.9775472339984959,1.0
Senior,1,35.0,0,0,26.0,S,3.258096538021482,1.0
Senior,1,34.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,15.0,0,0,8.0292,Q,2.0830848965946345,0.0
junior,1,28.0,0,0,35.5,S,3.56953269648137,1.0
Senior,0,8.0,3,1,21.075,S,3.048087503887919,0.0
Senior,0,38.0,1,5,31.3875,S,3.4464097244837033,1.0
Senior,1,29.881137667304014,0,0,7.225,C,1.9775472339984959,1.0
junior,1,19.0,3,2,263.0,S,5.572154032177765,1.0
Senior,0,29.881137667304014,0,0,7.8792,Q,2.0642263758733557,0.0
Senior,1,29.881137667304014,0,0,7.8958,S,2.0663309725297405,1.0
junior,1,40.0,0,0,27.7208,C,3.32218303393412,0.0
junior,0,29.881137667304014,1,0,146.5208,C,4.9871673979011675,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,66.0,0,0,10.5,S,2.3513752571634776,1.0
junior,1,28.0,1,0,82.1708,C,4.408800007809053,1.0
junior,1,42.0,1,0,52.0,S,3.9512437185814275,1.0
Senior,1,29.881137667304014,0,0,7.2292,C,1.9781283799793465,1.0
Senior,1,21.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,0,18.0,2,0,18.0,S,2.8903717578961645,0.0
Senior,0,14.0,1,0,11.2417,C,2.419630078580691,0.0
Senior,0,40.0,1,0,9.475,S,2.24865675096849,1.0
Senior,0,27.0,1,0,21.0,S,3.044522437723423,1.0
Senior,1,29.881137667304014,0,0,7.8958,C,2.0663309725297405,1.0
Senior,0,3.0,1,2,41.5792,C,3.7276000422255353,0.0
Senior,0,19.0,0,0,7.8792,Q,2.0642263758733557,0.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,1,0,15.5,Q,2.740840023925201,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,29.881137667304014,2,0,21.6792,C,3.0763532755216065,1.0
Senior,0,18.0,1,0,17.8,S,2.8791984572980396,1.0
Senior,1,7.0,4,1,39.6875,S,3.6810362766529106,0.0
Senior,1,21.0,0,0,7.8,S,2.0541237336955462,1.0
